monthyear,house price
Oct-1975,78820
Nov-1975,68338
Dec-1975,64996
Jan-1976,58992
Feb-1976,60456
Mar-1976,70198
Apr-1976,60900
May-1976,65809
Jun-1976,69759
Jul-1976,66679
Aug-1976,75008
Sep-1976,80338
Oct-1976,78116
Nov-1976,85565
Dec-1976,76337
Jan-1977,62350
Feb-1977,72524
Mar-1977,75639
Apr-1977,65033
May-1977,70097
Jun-1977,75635
Jul-1977,83631
Aug-1977,89176
Sep-1977,78754
Oct-1977,77325
Nov-1977,88776
Dec-1977,71441
Jan-1978,66727
Feb-1978,80829
Mar-1978,77590
Apr-1978,75009
May-1978,88200
Jun-1978,74836
Jul-1978,72070
Aug-1978,80529
Sep-1978,76187
Oct-1978,82578
Nov-1978,91549
Dec-1978,68141
Jan-1979,78344
Feb-1979,83132
Mar-1979,85427
Apr-1979,69757
May-1979,81399
Jun-1979,74672
Jul-1979,77299
Aug-1979,89383
Sep-1979,70647
Oct-1979,85289
Nov-1979,82342
Dec-1979,63785
Jan-1980,73671
Feb-1980,79024
Mar-1980,80828
Apr-1980,74283
May-1980,79467
Jun-1980,64673
Jul-1980,75953
Aug-1980,72941
Sep-1980,75613
Oct-1980,86757
Nov-1980,76893
Dec-1980,70394
Jan-1981,63088
Feb-1981,64701
Mar-1981,68638
Apr-1981,66872
May-1981,63270
Jun-1981,63675
Jul-1981,68789
Aug-1981,64041
Sep-1981,66054
Oct-1981,61729
Nov-1981,61859
Dec-1981,62431
Jan-1982,53812
Feb-1982,57373
Mar-1982,65698
Apr-1982,46241
May-1982,54159
Jun-1982,57119
Jul-1982,51766
Aug-1982,53495
Sep-1982,50748
Oct-1982,49090
Nov-1982,52133
Dec-1982,49593
Jan-1983,43174
Feb-1983,57892
Mar-1983,61544
Apr-1983,45580
May-1983,63239
Jun-1983,50704
Jul-1983,52819
Aug-1983,59959
Sep-1983,59451
Oct-1983,58245
Nov-1983,70893
Dec-1983,69927
Jan-1984,61338
Feb-1984,79712
Mar-1984,73495
Apr-1984,62550
May-1984,76474
Jun-1984,62593
Jul-1984,70399
Aug-1984,79325
Sep-1984,73155
Oct-1984,82056
Nov-1984,78508
Dec-1984,66662
Jan-1985,72099
Feb-1985,75276
Mar-1985,78637
Apr-1985,76627
May-1985,88957
Jun-1985,72303
Jul-1985,81015
Aug-1985,73596
Sep-1985,77059
Oct-1985,83539
Nov-1985,71605
Dec-1985,65309
Jan-1986,56452
Feb-1986,55856
Mar-1986,57955
Apr-1986,74222
May-1986,81658
Jun-1986,78304
Jul-1986,78786
Aug-1986,64266
Sep-1986,67538
Oct-1986,78416
Nov-1986,65915
Dec-1986,67526
Jan-1987,57438
Feb-1987,70041
Mar-1987,68079
Apr-1987,76848
May-1987,75793
Jun-1987,71127
Jul-1987,77148
Aug-1987,66359
Sep-1987,90680
Oct-1987,93048
Nov-1987,83187
Dec-1987,89430
Jan-1988,55446
Feb-1988,77445
